id_insumo,insumo,categoria,fornecedor,regiao_fornecedor,unidade_medida,lote_minimo_compra,consumo_medio_4m,consumo_medio_6m,consumo_medio_12m,custo_aquisicao_unitario,prazo_entrega_dias,indice_reajuste_12m,criticidade_insumo
INS-02-00001,Dioxido de titanio,Corante,Essencia Pura Supply,SP,g,250,355.22,610.2,1013.97,665.63,55,0.0899,baixa
INS-02-00002,Caprilico caprico triglicerideo,Emoliente,GreenLab Mat-primas,BA,g,200,1493.58,2374.75,4668.64,586.95,55,0.1579,baixa
INS-02-00003,Sorbato de potassio,Conservante,DermaLink Distribuidora,MG,mL,150,792.41,1016.92,1780.48,496.77,41,0.1472,media
INS-02-00004,Fragrancia herbal,Fragrancia,AromaBase Import,SP,g,250,1198.17,1822.07,3870.05,640.85,60,0.1624,baixa
INS-02-00005,Oleo de jojoba,Emoliente,DermaLink Distribuidora,PE,L,250,267.76,344.73,618.47,296.87,58,0.0174,alta
INS-02-00006,Goma guar cationica,Espessante,BioAtivos Sul,GO,L,500,384.25,549.23,931.93,752.62,58,0.0645,alta
INS-02-00007,Carbopol,Espessante,Insumos DermaTech,BA,mL,1000,424.14,690.12,1200.16,716.72,40,0.1277,media
INS-02-00008,Carmin sintetico,Corante,CosmoQuimica Brasil,SC,L,25,1206.53,1706.79,2771.35,582.05,12,0.2484,media
INS-02-00009,Benzoato de sodio,Conservante,BioAtivos Sul,PR,g,250,655.27,859.64,1519.01,670.41,33,-0.0508,baixa
INS-02-00010,Caprilico caprico triglicerideo,Emoliente,GreenLab Mat-primas,SP,mL,200,956.07,1587.14,2782.96,444.12,37,-0.0183,alta
INS-02-00011,Propilenoglicol,Umectante,Essencia Pura Supply,BA,L,1000,127.19,221.5,411.78,262.2,12,0.143,baixa
INS-02-00012,Butilenoglicol,Umectante,DermaLink Distribuidora,SP,mL,25,758.23,953.48,2166.4,478.34,34,0.021,baixa
INS-02-00013,Mica perolada,Corante,AromaBase Import,RJ,g,250,1433.37,2459.83,5519.97,340.45,46,0.1322,media
INS-02-00014,Acido hialuronico,Ativo funcional,Quimnova Trading,RJ,L,25,659.08,1139.5,1836.99,574.66,48,-0.026,baixa
INS-02-00015,Benzoato de sodio,Conservante,CosmoQuimica Brasil,PR,kg,150,1344.44,2014.64,3825.99,240.77,39,-0.0515,alta
INS-02-00016,Manteiga de karite,Emoliente,CoreLab Ingredients,MG,g,25,374.31,607.63,1384.62,47.45,51,0.094,baixa
INS-02-00017,Fragrancia citrica,Fragrancia,AromaBase Import,PR,L,250,1235.5,2107.22,4298.6,544.65,9,0.1884,media
INS-02-00018,Aloe vera concentrado,Ativo funcional,GreenLab Mat-primas,SC,mL,250,829.9,1134.35,2587.39,612.6,29,0.2291,media
INS-02-00019,Goma guar cationica,Espessante,Essencia Pura Supply,PE,kg,100,954.35,1218.92,1972.74,406.51,20,0.2172,media
INS-02-00020,Sorbitol,Umectante,Quimnova Trading,MG,g,200,409.73,648.13,1044.66,430.72,48,0.0688,media
INS-02-00021,Fragrancia herbal,Fragrancia,CoreLab Ingredients,PE,g,200,312.56,429.1,876.9,447.79,16,-0.0478,alta
INS-02-00022,Fragrancia citrica,Fragrancia,Essencia Pura Supply,SC,L,25,574.65,799.19,1718.36,692.3,5,0.2095,alta
INS-02-00023,Goma xantana,Espessante,Essencia Pura Supply,PR,g,25,1175.59,1745.01,3757.8,771.21,54,0.044,media
INS-02-00024,Oleo de jojoba,Emoliente,AromaBase Import,BA,g,100,760.3,1174.66,2076.53,804.12,52,0.1927,alta
INS-02-00025,Fragrancia citrica,Fragrancia,BioAtivos Sul,SC,mL,25,1379.22,1977.22,4450.49,344.08,55,0.222,baixa
INS-02-00026,Goma guar cationica,Espessante,Essencia Pura Supply,SP,g,25,445.91,739.03,1665.39,370.8,45,0.1461,alta
INS-02-00027,Fragrancia herbal,Fragrancia,CoreLab Ingredients,RJ,g,100,911.76,1308.67,2264.61,223.75,39,-0.0778,media
INS-02-00028,Fragrancia herbal,Fragrancia,DermaLink Distribuidora,SP,g,100,217.34,326.74,569.09,638.0,38,0.2133,media
INS-02-00029,Hidroxietilcelulose,Espessante,Quimnova Trading,PE,kg,50,860.69,1196.19,1983.21,272.42,21,-0.0458,media
INS-02-00030,Sorbitol,Umectante,Insumos DermaTech,MG,g,25,544.2,792.18,1755.31,344.54,32,-0.008,baixa
INS-02-00031,Sorbato de potassio,Conservante,GreenLab Mat-primas,GO,mL,500,558.54,763.16,1477.77,321.91,18,0.0608,baixa
INS-02-00032,Acido hialuronico,Ativo funcional,Insumos DermaTech,RJ,g,50,986.5,1586.75,2846.78,465.87,22,0.0792,alta
INS-02-00033,Fragrancia herbal,Fragrancia,Insumos DermaTech,PE,mL,250,174.18,269.49,527.9,569.95,14,0.1806,alta
INS-02-00034,Manteiga de karite,Emoliente,BioAtivos Sul,PR,L,1000,235.63,338.57,640.96,799.44,49,0.1203,baixa
INS-02-00035,Fragrancia baunilha,Fragrancia,BioAtivos Sul,PE,g,100,1392.05,2287.58,3953.92,232.31,39,0.1653,alta
INS-02-00036,Cocamidopropil betaina,Tensoativo,Quimnova Trading,PE,kg,100,568.39,821.48,1742.5,690.27,37,0.0415,baixa
INS-02-00037,Fragrancia baunilha,Fragrancia,GreenLab Mat-primas,PR,kg,1000,1264.82,1823.77,3066.51,267.24,43,0.182,baixa
INS-02-00038,Butilenoglicol,Umectante,Insumos DermaTech,SC,g,50,816.22,1254.43,2504.1,463.31,7,0.1963,media
INS-02-00039,Manteiga de karite,Emoliente,CoreLab Ingredients,BA,g,1000,480.57,754.49,1405.08,258.75,15,0.1996,media
INS-02-00040,Dioxido de titanio,Corante,DermaLink Distribuidora,PE,g,100,795.26,1148.61,2213.76,285.93,19,0.1675,media
INS-02-00041,Goma xantana,Espessante,AromaBase Import,SC,kg,250,1498.86,2032.86,4094.55,117.13,60,0.2487,baixa
INS-02-00042,Aloe vera concentrado,Ativo funcional,BioAtivos Sul,RJ,g,150,1220.22,2113.22,4355.66,690.24,24,0.0146,alta
INS-02-00043,Manteiga de karite,Emoliente,CosmoQuimica Brasil,MG,kg,200,279.47,414.67,766.96,481.9,25,0.0772,alta
INS-02-00044,Hidroxietilcelulose,Espessante,AromaBase Import,BA,L,100,880.31,1291.07,2793.83,22.18,48,0.2122,media
INS-02-00045,Oleo de jojoba,Emoliente,Insumos DermaTech,MG,kg,25,614.87,1072.76,2036.84,620.29,45,0.1392,baixa
INS-02-00046,Sorbato de potassio,Conservante,Quimnova Trading,MG,kg,100,438.44,596.04,1126.75,135.87,32,0.0582,media
INS-02-00047,Fragrancia herbal,Fragrancia,Quimnova Trading,PE,kg,500,1191.23,1521.13,2635.74,796.76,9,0.1923,alta
INS-02-00048,Dioxido de titanio,Corante,GreenLab Mat-primas,BA,mL,250,411.77,619.23,1219.85,598.97,40,0.0041,baixa
INS-02-00049,Glicerina bidestilada,Umectante,Insumos DermaTech,BA,mL,1000,998.79,1284.32,2662.9,719.41,44,-0.0447,baixa
INS-02-00050,Glicerina bidestilada,Umectante,Essencia Pura Supply,RJ,mL,1000,1218.44,2081.12,4065.31,83.44,13,-0.0022,baixa
INS-02-00051,Sorbitol,Umectante,CosmoQuimica Brasil,MG,kg,1000,176.09,252.17,417.42,705.29,5,0.2344,baixa
INS-02-00052,Fragrancia baunilha,Fragrancia,Insumos DermaTech,SP,kg,200,143.27,226.06,503.44,428.85,17,0.2174,baixa
INS-02-00053,Goma xantana,Espessante,AromaBase Import,PE,g,500,1282.36,1980.65,3244.01,650.55,16,-0.0083,alta
INS-02-00054,Aloe vera concentrado,Ativo funcional,Quimnova Trading,SP,kg,100,1359.9,1775.12,3918.21,234.25,14,0.0499,baixa
INS-02-00055,Carmin sintetico,Corante,NaturaPrima Quimicos,SP,kg,100,652.18,1006.96,2241.77,325.28,19,0.0154,baixa
INS-02-00056,Fragrancia baunilha,Fragrancia,Quimnova Trading,RJ,kg,150,124.21,199.04,388.2,819.69,40,-0.0741,baixa
INS-02-00057,Hidroxietilcelulose,Espessante,BioAtivos Sul,GO,L,250,917.63,1235.07,2277.97,419.69,36,0.2198,alta
INS-02-00058,Fragrancia baunilha,Fragrancia,Essencia Pura Supply,PE,kg,100,501.76,799.19,1778.67,503.13,51,-0.0085,alta
INS-02-00059,Sodium cocoyl isethionate,Tensoativo,NaturaPrima Quimicos,MG,mL,150,1161.69,1773.69,3033.77,627.93,25,0.021,baixa
INS-02-00060,Glicerina bidestilada,Umectante,CoreLab Ingredients,SC,mL,250,485.57,675.3,1457.29,283.05,25,0.0361,baixa
INS-02-00061,Fragrancia floral suave,Fragrancia,BioAtivos Sul,MG,g,500,1480.92,2309.92,5009.56,39.64,42,0.1226,baixa
INS-02-00062,Fragrancia floral suave,Fragrancia,CosmoQuimica Brasil,GO,mL,1000,1308.24,1944.03,3860.26,427.48,53,0.0376,baixa
INS-02-00063,Goma xantana,Espessante,CosmoQuimica Brasil,PE,g,200,1263.68,2181.01,4635.96,257.48,13,0.0838,media
INS-02-00064,Aloe vera concentrado,Ativo funcional,BioAtivos Sul,BA,L,1000,374.85,637.76,1399.43,568.08,33,-0.0314,media
INS-02-00065,Fragrancia baunilha,Fragrancia,Insumos DermaTech,SC,L,100,1382.74,1989.53,4007.12,768.05,31,0.1172,baixa
INS-02-00066,Oleo de jojoba,Emoliente,NaturaPrima Quimicos,SP,L,250,1100.25,1656.4,2923.57,264.08,43,0.0799,baixa
INS-02-00067,Mica perolada,Corante,Essencia Pura Supply,PE,g,1000,111.34,163.41,291.19,73.9,40,0.1097,media
INS-02-00068,Acido dehidroacetico,Conservante,BioAtivos Sul,PR,kg,1000,619.95,814.11,1529.21,17.08,39,0.2196,media
INS-02-00069,Fragrancia baunilha,Fragrancia,DermaLink Distribuidora,BA,kg,200,1480.9,2093.69,4518.44,810.82,26,0.1132,alta
INS-02-00070,Esqualano vegetal,Emoliente,CosmoQuimica Brasil,SP,mL,150,1406.63,2053.56,4412.19,142.24,9,-0.0741,media
INS-02-00071,Oleo de jojoba,Emoliente,DermaLink Distribuidora,PR,mL,50,769.35,1002.04,2260.14,520.02,14,0.1035,baixa
INS-02-00072,Butilenoglicol,Umectante,AromaBase Import,BA,L,25,872.35,1333.73,2424.76,478.57,9,0.1786,alta
INS-02-00073,Decil glucosideo,Tensoativo,AromaBase Import,PR,L,250,1421.15,2307.89,4372.86,185.36,38,0.0964,media
INS-02-00074,Glicerina bidestilada,Umectante,CosmoQuimica Brasil,MG,mL,1000,438.05,570.57,1238.97,454.94,51,0.0363,baixa
INS-02-00075,Propilenoglicol,Umectante,BioAtivos Sul,GO,kg,25,1055.33,1499.09,3368.86,682.68,29,0.0245,alta
INS-02-00076,Fragrancia floral suave,Fragrancia,BioAtivos Sul,SP,mL,25,132.56,221.84,386.67,142.08,23,0.0526,baixa
INS-02-00077,Goma guar cationica,Espessante,GreenLab Mat-primas,SC,kg,100,954.85,1432.86,2710.57,80.6,51,0.2039,baixa
INS-02-00078,Acido dehidroacetico,Conservante,BioAtivos Sul,MG,kg,25,330.83,465.15,938.4,540.86,19,-0.0554,baixa
INS-02-00079,Benzoato de sodio,Conservante,Quimnova Trading,MG,L,250,992.13,1501.19,3137.65,368.86,27,0.0745,baixa
INS-02-00080,Carbopol,Espessante,Quimnova Trading,BA,L,50,260.97,328.48,684.37,131.99,32,-0.064,baixa
INS-02-00081,Cocamidopropil betaina,Tensoativo,NaturaPrima Quimicos,SP,kg,150,1382.62,2060.22,4053.37,770.2,45,-0.0332,baixa
INS-02-00082,Sorbato de potassio,Conservante,BioAtivos Sul,SP,mL,500,577.24,758.39,1650.98,60.63,56,0.1308,media
INS-02-00083,Fenoxietanol,Conservante,CoreLab Ingredients,PE,kg,25,128.89,220.3,364.81,503.08,25,0.0865,alta
INS-02-00084,Oxido de ferro amarelo,Corante,Insumos DermaTech,SC,kg,50,1268.68,2126.45,4708.71,30.79,15,0.1927,alta
INS-02-00085,Oxido de ferro amarelo,Corante,Insumos DermaTech,BA,kg,50,1466.38,2496.79,4791.17,630.2,38,-0.02,media
INS-02-00086,Manteiga de karite,Emoliente,DermaLink Distribuidora,RJ,g,25,916.42,1258.37,2020.68,510.11,43,0.235,media
INS-02-00087,Cocamidopropil betaina,Tensoativo,CosmoQuimica Brasil,RJ,mL,200,605.22,848.21,1509.03,581.04,25,0.1681,baixa
INS-02-00088,Caprilico caprico triglicerideo,Emoliente,Essencia Pura Supply,RJ,L,150,1207.16,1687.52,3553.84,286.16,34,0.0308,baixa
INS-02-00089,Carbopol,Espessante,AromaBase Import,PR,L,1000,952.04,1484.07,2432.65,160.02,51,0.138,media
INS-02-00090,Sorbitol,Umectante,CosmoQuimica Brasil,GO,g,50,1349.08,2057.79,3805.34,352.74,58,-0.0684,alta
INS-02-00091,Dioxido de titanio,Corante,Essencia Pura Supply,SP,mL,50,222.51,319.42,611.74,80.57,58,0.0689,media
INS-02-00092,Goma guar cationica,Espessante,NaturaPrima Quimicos,SP,g,1000,181.27,303.71,636.82,95.56,16,0.1768,baixa
INS-02-00093,Niacinamida,Ativo funcional,GreenLab Mat-primas,MG,kg,150,1387.84,2244.04,3958.08,327.54,25,0.1255,media
INS-02-00094,Oleo de jojoba,Emoliente,GreenLab Mat-primas,BA,L,500,1343.74,2297.22,4365.21,12.54,21,0.1557,media
INS-02-00095,Oxido de ferro amarelo,Corante,GreenLab Mat-primas,SC,g,200,1450.11,1884.75,3410.27,258.98,31,0.1659,baixa
INS-02-00096,Goma guar cationica,Espessante,NaturaPrima Quimicos,RJ,L,500,1175.39,1820.01,3350.04,484.78,39,0.2105,baixa
INS-02-00097,Pantenol,Ativo funcional,DermaLink Distribuidora,MG,mL,200,1428.0,2012.66,3695.29,157.67,34,0.0754,alta
INS-02-00098,Glicerina bidestilada,Umectante,BioAtivos Sul,GO,kg,250,837.42,1300.0,2832.59,344.57,8,-0.0533,baixa
INS-02-00099,Lauril eter sulfato de sodio,Tensoativo,GreenLab Mat-primas,PE,L,1000,175.85,302.76,584.35,501.37,41,0.2018,baixa
INS-02-00100,Esqualano vegetal,Emoliente,GreenLab Mat-primas,SP,mL,100,1243.23,1898.55,3102.33,651.41,16,0.129,baixa
INS-02-00101,Fragrancia baunilha,Fragrancia,Quimnova Trading,SP,L,500,85.31,144.33,318.37,348.35,57,0.0399,media
INS-02-00102,Acido dehidroacetico,Conservante,BioAtivos Sul,RJ,kg,1000,986.25,1362.67,2601.81,20.93,16,0.2499,baixa
INS-02-00103,Goma xantana,Espessante,GreenLab Mat-primas,PR,kg,1000,1498.23,2015.75,3928.43,523.55,41,0.1991,media
INS-02-00104,Acido hialuronico,Ativo funcional,CosmoQuimica Brasil,GO,g,50,1038.8,1381.71,2330.97,694.7,33,-0.0735,alta
INS-02-00105,Dioxido de titanio,Corante,CosmoQuimica Brasil,SC,g,100,369.9,508.33,973.38,751.25,58,0.0812,media
INS-02-00106,Hidroxietilcelulose,Espessante,CosmoQuimica Brasil,SP,kg,150,1245.7,1618.84,3685.0,583.81,35,0.0047,alta
INS-02-00107,Acido hialuronico,Ativo funcional,Quimnova Trading,RJ,g,100,1253.66,1618.4,2628.44,591.72,56,-0.0327,baixa
INS-02-00108,Esqualano vegetal,Emoliente,Quimnova Trading,RJ,mL,1000,893.04,1434.34,2789.32,560.87,43,0.1791,media
INS-02-00109,Sorbato de potassio,Conservante,CosmoQuimica Brasil,PE,g,25,699.44,1082.49,1917.4,288.92,42,0.1498,alta
INS-02-00110,Niacinamida,Ativo funcional,CoreLab Ingredients,PE,L,50,236.33,398.99,916.74,462.66,10,0.2487,media
INS-02-00111,Glicerina bidestilada,Umectante,DermaLink Distribuidora,RJ,mL,25,919.25,1239.66,2652.4,355.64,31,0.039,alta
INS-02-00112,Lauril eter sulfato de sodio,Tensoativo,GreenLab Mat-primas,MG,g,500,1468.27,2144.37,4406.79,376.14,26,0.1473,media
INS-02-00113,Dioxido de titanio,Corante,DermaLink Distribuidora,GO,g,150,945.39,1561.21,3021.04,444.77,8,0.1788,baixa
INS-02-00114,Fragrancia herbal,Fragrancia,AromaBase Import,BA,kg,150,469.91,630.41,1237.01,282.59,8,0.0887,media
INS-02-00115,Sodium cocoyl isethionate,Tensoativo,CoreLab Ingredients,PR,kg,500,616.63,981.06,1784.95,482.12,39,0.06,alta
INS-02-00116,Acido hialuronico,Ativo funcional,CosmoQuimica Brasil,BA,g,25,744.12,1201.96,2388.87,565.41,19,0.0668,baixa
INS-02-00117,Lauril eter sulfato de sodio,Tensoativo,Quimnova Trading,PE,mL,100,825.55,1221.41,2070.87,223.84,10,0.2346,alta
INS-02-00118,Pantenol,Ativo funcional,Essencia Pura Supply,SP,mL,1000,753.44,1198.33,1953.93,191.24,13,0.0062,baixa
INS-02-00119,Cocamidopropil betaina,Tensoativo,CoreLab Ingredients,MG,mL,1000,230.83,397.57,850.97,283.17,12,0.1483,media
INS-02-00120,Fragrancia baunilha,Fragrancia,Quimnova Trading,MG,kg,500,587.42,856.89,1695.97,38.26,46,-0.0595,media
INS-02-00121,Fragrancia baunilha,Fragrancia,BioAtivos Sul,RJ,L,500,505.15,736.26,1681.05,140.95,24,0.1207,alta
INS-02-00122,Butilenoglicol,Umectante,AromaBase Import,MG,kg,50,536.53,797.87,1760.81,611.76,48,0.0019,baixa
INS-02-00123,Lauril eter sulfato de sodio,Tensoativo,DermaLink Distribuidora,SP,L,500,826.17,1132.57,2280.57,578.62,55,0.1838,baixa
INS-02-00124,Butilenoglicol,Umectante,GreenLab Mat-primas,RJ,L,100,333.77,419.94,909.98,80.07,28,-0.0709,alta
INS-02-00125,Acido hialuronico,Ativo funcional,Quimnova Trading,MG,mL,500,817.48,1372.51,2472.11,503.52,40,-0.0122,media
INS-02-00126,Sorbitol,Umectante,AromaBase Import,BA,g,1000,346.29,598.65,1096.86,104.38,22,0.1067,media
INS-02-00127,Fragrancia baunilha,Fragrancia,NaturaPrima Quimicos,RJ,mL,1000,1055.44,1341.72,2211.59,602.7,36,-0.0436,baixa
INS-02-00128,Hidroxietilcelulose,Espessante,AromaBase Import,MG,g,200,343.1,591.08,1023.58,317.84,36,-0.0668,baixa
INS-02-00129,Fragrancia citrica,Fragrancia,DermaLink Distribuidora,PE,kg,250,1455.47,2503.1,5272.53,231.07,15,-0.0636,media
INS-02-00130,Niacinamida,Ativo funcional,Quimnova Trading,PR,mL,25,842.22,1213.07,2417.0,230.13,45,0.0645,alta
INS-02-00131,Sorbitol,Umectante,BioAtivos Sul,PE,g,100,1415.14,2170.73,4288.24,478.65,43,0.1093,media
INS-02-00132,Fragrancia floral suave,Fragrancia,DermaLink Distribuidora,RJ,kg,200,808.08,1121.48,2442.78,563.57,60,0.0946,baixa
INS-02-00133,Pantenol,Ativo funcional,Quimnova Trading,PR,g,1000,144.84,182.35,305.43,353.41,36,-0.0013,baixa
INS-02-00134,Esqualano vegetal,Emoliente,BioAtivos Sul,BA,kg,1000,1286.43,2206.41,4208.64,68.96,40,-0.0379,media
INS-02-00135,Sodium cocoyl isethionate,Tensoativo,BioAtivos Sul,BA,kg,200,145.35,202.18,363.92,421.94,53,-0.0431,media
INS-02-00136,Sorbato de potassio,Conservante,CosmoQuimica Brasil,PR,g,25,182.48,261.5,422.9,490.39,33,0.1009,media
INS-02-00137,Lauril eter sulfato de sodio,Tensoativo,GreenLab Mat-primas,PE,L,1000,113.94,190.24,401.92,205.7,47,0.0978,alta
