produto_id,categoria,descricao,fornecedor,lote_minimo_compra,consumo_medio_4m,consumo_medio_6m,consumo_medio_12m,custo_aquisicao_unitario,custo_negociado_estimado,estoque_atual,prazo_reposicao_dias,nivel_servico_alvo,margem_alvo,proxima_revisao_contrato
PRODUTOS_ALIMENTOS-00001,alimentos,Produto Alimentos 00001,Fornecedor_008,720,772.72,899.26,1636.67,336.76,371.64,178,80,0.908,0.223,2026-08-28
PRODUTOS_ALIMENTOS-00002,alimentos,Produto Alimentos 00002,Fornecedor_223,48,613.85,714.88,1257.53,975.7,1022.57,459,80,0.901,0.175,2026-07-21
PRODUTOS_ALIMENTOS-00003,alimentos,Produto Alimentos 00003,Fornecedor_089,12,842.3,1126.26,1942.11,1435.93,1418.14,389,17,0.954,0.202,2026-05-23
PRODUTOS_ALIMENTOS-00004,alimentos,Produto Alimentos 00004,Fornecedor_059,120,879.73,1271.15,3023.41,569.36,597.88,393,13,0.97,0.096,2026-06-10
PRODUTOS_ALIMENTOS-00005,alimentos,Produto Alimentos 00005,Fornecedor_069,24,1028.55,1673.01,3185.57,681.48,771.36,758,50,0.963,0.151,2027-04-15
PRODUTOS_ALIMENTOS-00006,alimentos,Produto Alimentos 00006,Fornecedor_057,240,782.92,1162.66,2019.43,1094.37,1025.85,552,86,0.962,0.314,2026-05-29
PRODUTOS_ALIMENTOS-00007,alimentos,Produto Alimentos 00007,Fornecedor_227,120,286.42,334.44,619.51,403.44,383.75,108,88,0.982,0.25,2026-12-21
PRODUTOS_ALIMENTOS-00008,alimentos,Produto Alimentos 00008,Fornecedor_036,240,184.3,226.1,496.52,809.62,895.95,298,56,0.946,0.203,2026-06-16
PRODUTOS_ALIMENTOS-00009,alimentos,Produto Alimentos 00009,Fornecedor_120,12,910.6,1478.46,2546.31,242.07,263.22,394,53,0.948,0.283,2027-02-08
PRODUTOS_ALIMENTOS-00010,alimentos,Produto Alimentos 00010,Fornecedor_041,96,1035.02,1196.81,2604.96,1023.36,1070.15,696,19,0.941,0.18,2026-09-12
PRODUTOS_ALIMENTOS-00011,alimentos,Produto Alimentos 00011,Fornecedor_196,720,1166.69,1830.62,3672.5,161.85,173.4,1247,30,0.915,0.132,2027-01-27
PRODUTOS_ALIMENTOS-00012,alimentos,Produto Alimentos 00012,Fornecedor_146,96,1103.41,1632.41,3249.95,170.02,169.22,490,12,0.985,0.162,2026-06-13
PRODUTOS_ALIMENTOS-00013,alimentos,Produto Alimentos 00013,Fornecedor_224,480,882.31,1410.65,3360.71,800.23,741.39,1125,26,0.955,0.17,2026-08-17
PRODUTOS_ALIMENTOS-00014,alimentos,Produto Alimentos 00014,Fornecedor_064,120,1115.76,1746.61,3758.52,1070.14,1076.25,897,71,0.92,0.234,2026-10-21
PRODUTOS_ALIMENTOS-00015,alimentos,Produto Alimentos 00015,Fornecedor_221,6,39.93,58.08,120.27,13.27,14.53,14,13,0.93,0.388,2027-01-19
PRODUTOS_ALIMENTOS-00016,alimentos,Produto Alimentos 00016,Fornecedor_049,480,297.04,450.88,798.69,200.64,233.0,248,65,0.908,0.355,2027-04-03
PRODUTOS_ALIMENTOS-00017,alimentos,Produto Alimentos 00017,Fornecedor_205,12,525.8,727.16,1435.13,1094.29,1187.61,62,56,0.978,0.328,2026-09-05
PRODUTOS_ALIMENTOS-00018,alimentos,Produto Alimentos 00018,Fornecedor_167,12,242.03,349.73,598.79,277.27,283.97,226,75,0.99,0.113,2026-05-08
PRODUTOS_ALIMENTOS-00019,alimentos,Produto Alimentos 00019,Fornecedor_001,48,1163.26,1930.43,4399.37,251.55,259.31,821,12,0.989,0.136,2026-09-13
PRODUTOS_ALIMENTOS-00020,alimentos,Produto Alimentos 00020,Fornecedor_076,720,1112.92,1760.45,3218.45,1045.65,1152.14,1355,67,0.92,0.133,2026-05-30
PRODUTOS_ALIMENTOS-00021,alimentos,Produto Alimentos 00021,Fornecedor_131,720,701.33,1015.67,2232.83,88.1,93.34,1087,25,0.907,0.099,2026-08-04
PRODUTOS_ALIMENTOS-00022,alimentos,Produto Alimentos 00022,Fornecedor_021,48,96.2,114.22,261.51,607.15,706.16,148,81,0.938,0.094,2027-02-23
PRODUTOS_ALIMENTOS-00023,alimentos,Produto Alimentos 00023,Fornecedor_077,96,684.79,906.67,1639.81,1005.41,986.43,405,21,0.941,0.308,2026-06-07
PRODUTOS_ALIMENTOS-00024,alimentos,Produto Alimentos 00024,Fornecedor_226,720,26.04,38.84,79.64,152.22,159.21,271,21,0.906,0.397,2026-09-03
PRODUTOS_ALIMENTOS-00025,alimentos,Produto Alimentos 00025,Fornecedor_077,720,452.89,560.12,1269.78,1056.05,1127.21,16,90,0.984,0.358,2026-06-23
PRODUTOS_ALIMENTOS-00026,alimentos,Produto Alimentos 00026,Fornecedor_088,96,1127.63,1380.06,2335.54,162.79,171.0,577,82,0.918,0.152,2027-03-21
PRODUTOS_ALIMENTOS-00027,alimentos,Produto Alimentos 00027,Fornecedor_198,240,1025.7,1464.68,2637.73,1362.47,1232.67,566,10,0.912,0.081,2026-09-12
PRODUTOS_ALIMENTOS-00028,alimentos,Produto Alimentos 00028,Fornecedor_150,24,206.47,287.62,622.57,842.46,777.12,139,9,0.95,0.364,2026-12-07
PRODUTOS_ALIMENTOS-00029,alimentos,Produto Alimentos 00029,Fornecedor_091,120,166.02,219.07,508.07,1194.69,1361.48,107,36,0.97,0.307,2026-11-25
PRODUTOS_ALIMENTOS-00030,alimentos,Produto Alimentos 00030,Fornecedor_237,24,1169.0,1826.22,4274.47,357.01,334.57,844,8,0.93,0.141,2026-11-27
PRODUTOS_ALIMENTOS-00031,alimentos,Produto Alimentos 00031,Fornecedor_057,12,965.65,1569.41,3528.97,402.04,449.62,783,9,0.918,0.372,2026-12-22
PRODUTOS_ALIMENTOS-00032,alimentos,Produto Alimentos 00032,Fornecedor_248,240,429.35,687.51,1579.25,336.33,363.71,336,40,0.97,0.374,2026-10-27
PRODUTOS_ALIMENTOS-00033,alimentos,Produto Alimentos 00033,Fornecedor_068,12,775.16,1061.83,2532.37,805.48,936.28,267,27,0.903,0.277,2027-03-02
PRODUTOS_ALIMENTOS-00034,alimentos,Produto Alimentos 00034,Fornecedor_182,240,529.96,821.81,1521.11,910.3,945.17,590,29,0.939,0.167,2027-01-22
PRODUTOS_ALIMENTOS-00035,alimentos,Produto Alimentos 00035,Fornecedor_236,120,1111.81,1607.84,3497.92,1113.57,1207.65,883,13,0.93,0.403,2026-10-08
PRODUTOS_ALIMENTOS-00036,alimentos,Produto Alimentos 00036,Fornecedor_050,120,801.11,976.19,2264.8,761.92,825.46,412,42,0.938,0.269,2026-11-11
PRODUTOS_ALIMENTOS-00037,alimentos,Produto Alimentos 00037,Fornecedor_202,6,817.62,1346.25,2816.91,453.17,475.33,311,41,0.952,0.151,2027-04-01
PRODUTOS_ALIMENTOS-00038,alimentos,Produto Alimentos 00038,Fornecedor_170,24,396.87,552.83,1183.33,767.98,860.28,337,15,0.957,0.176,2026-10-19
PRODUTOS_ALIMENTOS-00039,alimentos,Produto Alimentos 00039,Fornecedor_122,24,125.66,210.31,376.01,467.35,525.26,6,10,0.955,0.163,2026-06-07
PRODUTOS_ALIMENTOS-00040,alimentos,Produto Alimentos 00040,Fornecedor_002,240,554.67,908.2,1871.38,1078.22,1079.68,249,23,0.98,0.303,2026-06-24
PRODUTOS_ALIMENTOS-00041,alimentos,Produto Alimentos 00041,Fornecedor_206,720,937.43,1190.87,2671.47,1044.63,1070.45,510,20,0.942,0.235,2027-01-27
PRODUTOS_ALIMENTOS-00042,alimentos,Produto Alimentos 00042,Fornecedor_041,720,1185.65,1751.8,4134.3,1337.41,1427.91,873,75,0.967,0.232,2026-12-30
PRODUTOS_ALIMENTOS-00043,alimentos,Produto Alimentos 00043,Fornecedor_183,480,548.33,857.31,1947.7,417.77,466.04,489,40,0.926,0.23,2026-09-17
PRODUTOS_ALIMENTOS-00044,alimentos,Produto Alimentos 00044,Fornecedor_105,24,412.98,677.77,1128.12,228.37,228.62,361,32,0.93,0.102,2026-12-25
PRODUTOS_ALIMENTOS-00045,alimentos,Produto Alimentos 00045,Fornecedor_091,6,507.69,641.6,1242.21,1357.5,1438.11,389,66,0.927,0.082,2026-11-16
PRODUTOS_ALIMENTOS-00046,alimentos,Produto Alimentos 00046,Fornecedor_125,48,1026.34,1718.48,3325.64,1121.9,1176.18,999,33,0.903,0.173,2026-10-20
PRODUTOS_ALIMENTOS-00047,alimentos,Produto Alimentos 00047,Fornecedor_170,720,807.62,1283.28,2796.72,1261.16,1458.74,55,55,0.902,0.281,2027-03-26
PRODUTOS_ALIMENTOS-00048,alimentos,Produto Alimentos 00048,Fornecedor_098,480,522.91,850.65,1484.71,392.08,386.18,669,48,0.925,0.339,2026-12-02
PRODUTOS_ALIMENTOS-00049,alimentos,Produto Alimentos 00049,Fornecedor_246,120,313.94,375.18,606.1,810.28,956.11,114,88,0.959,0.103,2026-05-16
PRODUTOS_ALIMENTOS-00050,alimentos,Produto Alimentos 00050,Fornecedor_066,12,1140.29,1436.36,2321.6,230.69,213.76,1155,32,0.969,0.238,2026-07-25
