produto_id,categoria,descricao,fornecedor,lote_minimo_compra,consumo_medio_4m,consumo_medio_6m,consumo_medio_12m,custo_aquisicao_unitario,custo_negociado_estimado,estoque_atual,prazo_reposicao_dias,nivel_servico_alvo,margem_alvo,proxima_revisao_contrato
PRODUTOS_LIMPEZA-00001,limpeza,Produto Limpeza 00001,Fornecedor_134,6,605.88,937.72,1945.43,600.43,613.28,300,11,0.911,0.112,2026-11-07
PRODUTOS_LIMPEZA-00002,limpeza,Produto Limpeza 00002,Fornecedor_210,6,877.55,1456.07,3102.21,254.23,233.53,692,23,0.949,0.376,2026-12-23
PRODUTOS_LIMPEZA-00003,limpeza,Produto Limpeza 00003,Fornecedor_162,240,443.1,591.76,1243.92,234.21,216.66,580,66,0.988,0.374,2026-12-14
PRODUTOS_LIMPEZA-00004,limpeza,Produto Limpeza 00004,Fornecedor_108,48,1185.76,1574.54,3637.52,784.39,903.04,306,11,0.952,0.156,2026-11-01
PRODUTOS_LIMPEZA-00005,limpeza,Produto Limpeza 00005,Fornecedor_212,120,723.71,879.41,1712.28,1125.0,1298.4,63,9,0.904,0.42,2026-05-18
PRODUTOS_LIMPEZA-00006,limpeza,Produto Limpeza 00006,Fornecedor_106,6,159.08,266.8,468.12,512.35,590.34,177,8,0.973,0.416,2027-03-16
PRODUTOS_LIMPEZA-00007,limpeza,Produto Limpeza 00007,Fornecedor_090,480,445.31,719.04,1252.45,622.69,565.78,964,66,0.964,0.155,2027-02-26
PRODUTOS_LIMPEZA-00008,limpeza,Produto Limpeza 00008,Fornecedor_036,240,839.09,1024.7,2176.86,658.52,757.5,682,54,0.907,0.349,2027-04-05
PRODUTOS_LIMPEZA-00009,limpeza,Produto Limpeza 00009,Fornecedor_068,48,88.73,124.73,285.03,535.44,490.89,124,29,0.92,0.379,2026-09-14
PRODUTOS_LIMPEZA-00010,limpeza,Produto Limpeza 00010,Fornecedor_243,6,1129.11,1719.88,3355.56,1210.85,1114.81,236,16,0.981,0.209,2027-01-26
PRODUTOS_LIMPEZA-00011,limpeza,Produto Limpeza 00011,Fornecedor_157,120,1131.94,1464.26,2696.2,1468.88,1489.63,969,14,0.95,0.295,2026-11-27
PRODUTOS_LIMPEZA-00012,limpeza,Produto Limpeza 00012,Fornecedor_199,240,1064.27,1458.97,3153.76,703.76,675.04,1235,7,0.967,0.225,2027-03-13
PRODUTOS_LIMPEZA-00013,limpeza,Produto Limpeza 00013,Fornecedor_090,120,1071.58,1511.11,3090.83,626.22,646.85,699,8,0.951,0.3,2026-06-05
