produto_id,categoria,descricao,fornecedor,lote_minimo_compra,consumo_medio_4m,consumo_medio_6m,consumo_medio_12m,custo_aquisicao_unitario,custo_negociado_estimado,estoque_atual,prazo_reposicao_dias,nivel_servico_alvo,margem_alvo,proxima_revisao_contrato
PRODUTOS_UTILIDADES-00001,utilidades,Produto Utilidades 00001,Fornecedor_094,48,768.39,982.79,2113.5,86.84,94.76,813,10,0.914,0.126,2027-04-20
PRODUTOS_UTILIDADES-00002,utilidades,Produto Utilidades 00002,Fornecedor_201,48,316.91,530.63,1170.84,52.55,58.57,344,62,0.922,0.392,2027-01-18
PRODUTOS_UTILIDADES-00003,utilidades,Produto Utilidades 00003,Fornecedor_073,6,614.62,772.1,1306.91,1485.57,1485.81,318,45,0.919,0.136,2026-07-13
PRODUTOS_UTILIDADES-00004,utilidades,Produto Utilidades 00004,Fornecedor_051,480,58.88,99.69,214.44,145.31,167.69,179,65,0.943,0.293,2026-11-05
PRODUTOS_UTILIDADES-00005,utilidades,Produto Utilidades 00005,Fornecedor_158,120,462.84,562.89,989.26,416.04,460.64,167,53,0.942,0.14,2026-07-08
PRODUTOS_UTILIDADES-00006,utilidades,Produto Utilidades 00006,Fornecedor_231,24,17.13,24.42,44.47,1273.51,1457.78,9,72,0.916,0.228,2027-04-11
PRODUTOS_UTILIDADES-00007,utilidades,Produto Utilidades 00007,Fornecedor_196,240,963.86,1408.79,2930.54,1009.6,993.9,518,37,0.95,0.142,2026-11-26
PRODUTOS_UTILIDADES-00008,utilidades,Produto Utilidades 00008,Fornecedor_111,48,323.59,538.08,995.64,798.07,782.95,352,69,0.905,0.335,2026-06-18
PRODUTOS_UTILIDADES-00009,utilidades,Produto Utilidades 00009,Fornecedor_038,480,362.21,590.86,1126.62,1233.39,1248.21,745,90,0.981,0.203,2026-08-08
PRODUTOS_UTILIDADES-00010,utilidades,Produto Utilidades 00010,Fornecedor_110,240,664.33,1107.31,2362.76,970.22,934.55,275,67,0.99,0.136,2027-01-01
PRODUTOS_UTILIDADES-00011,utilidades,Produto Utilidades 00011,Fornecedor_202,6,1172.01,1946.41,3218.37,634.15,634.09,534,74,0.909,0.237,2026-11-21
PRODUTOS_UTILIDADES-00012,utilidades,Produto Utilidades 00012,Fornecedor_047,96,1142.91,1637.69,3125.72,1345.38,1292.58,1006,64,0.955,0.118,2026-11-23
PRODUTOS_UTILIDADES-00013,utilidades,Produto Utilidades 00013,Fornecedor_239,120,652.23,846.84,1843.88,1470.07,1658.01,301,80,0.986,0.335,2027-01-20
PRODUTOS_UTILIDADES-00014,utilidades,Produto Utilidades 00014,Fornecedor_250,6,178.57,284.36,535.37,515.02,582.55,157,70,0.95,0.143,2026-08-25
PRODUTOS_UTILIDADES-00015,utilidades,Produto Utilidades 00015,Fornecedor_072,12,518.13,815.82,1602.32,570.63,669.46,380,12,0.908,0.187,2027-02-12
PRODUTOS_UTILIDADES-00016,utilidades,Produto Utilidades 00016,Fornecedor_015,720,1054.38,1262.09,2433.85,874.08,829.88,1355,42,0.955,0.188,2026-11-05
PRODUTOS_UTILIDADES-00017,utilidades,Produto Utilidades 00017,Fornecedor_103,96,253.39,301.76,612.72,831.16,907.89,155,57,0.946,0.121,2026-06-13
PRODUTOS_UTILIDADES-00018,utilidades,Produto Utilidades 00018,Fornecedor_246,24,371.7,544.66,1277.52,1199.73,1096.13,175,78,0.94,0.283,2026-06-16
PRODUTOS_UTILIDADES-00019,utilidades,Produto Utilidades 00019,Fornecedor_068,720,762.07,1047.52,1676.09,1113.15,1232.12,393,64,0.927,0.197,2026-06-03
PRODUTOS_UTILIDADES-00020,utilidades,Produto Utilidades 00020,Fornecedor_160,6,983.28,1616.73,3088.53,101.32,103.98,362,82,0.909,0.38,2026-05-06
PRODUTOS_UTILIDADES-00021,utilidades,Produto Utilidades 00021,Fornecedor_022,6,290.06,369.46,871.6,1087.51,1273.33,228,50,0.955,0.202,2027-01-28
PRODUTOS_UTILIDADES-00022,utilidades,Produto Utilidades 00022,Fornecedor_044,480,845.38,1218.97,2323.15,589.96,586.33,1301,7,0.966,0.116,2027-01-13
PRODUTOS_UTILIDADES-00023,utilidades,Produto Utilidades 00023,Fornecedor_191,12,671.48,907.88,1887.36,1383.36,1606.03,426,27,0.903,0.339,2026-08-10
PRODUTOS_UTILIDADES-00024,utilidades,Produto Utilidades 00024,Fornecedor_006,240,234.39,367.09,755.36,419.51,490.73,34,33,0.953,0.316,2027-01-24
PRODUTOS_UTILIDADES-00025,utilidades,Produto Utilidades 00025,Fornecedor_248,720,720.07,1219.87,2367.56,1195.81,1187.25,1071,58,0.909,0.247,2026-10-27
PRODUTOS_UTILIDADES-00026,utilidades,Produto Utilidades 00026,Fornecedor_078,24,1178.92,1590.17,3240.09,551.99,506.87,1191,25,0.97,0.167,2026-11-16
